3922,file/ 3922.pdf,[11-12-2024] Notification for ST Scholarship for the year 2024-25,.pdf," 3922.pdf"
3921,file/ 3921.pdf,"[10-12-2024]  I PhD Viva Voce of Zahid Ahmad Naik, Research Scholar, Department of Islamic Studies",.pdf," 3921.pdf"
3918,file/ 3918.pdf,"[04-12-2024] Ph.D. Result Notification of Manzoor Hussain, Department of Urdu",.pdf," 3918.pdf"
3908,file/DOC-20241128-WA0007.pdf,"[02-12-2024] | Ph.D. Result of Nahida Koser, Department of Arabic",.pdf,DOC-20241128-WA0007.pdf
3907,file/New Doc 11-28-2024 19.48.pdf,[02-12-2024] | PhD result of Tanveer Nasir Department of MBA HTM,.pdf,New Doc 11-28-2024 19.48.pdf
3906,file/02_12_24_examination postponement.pdf,[02-12-2024] | Postponement of BSc Nursing Semester Examination,.pdf,02_12_24_examination postponement.pdf
3905,file/02122024_List_of_Eligible.pdf,"[02-12-2024] | List of Eligible candidates for the Interview of the post of Junior Research Assistant for the Research Project titled ""Soil Erosion Assessment on Hill Slope of Jammu Srinagar National Highway using RUSLE Model"" sponsored by J&K Science Technology and Innovation Council (JKSTIC) Department of Science and Technology, Government of J&K.",.pdf,02122024_List_of_Eligible.pdf
3904,file/DOC-20241129-WA0005..pdf,[29-11-2024] | Regarding Increasing number of incidents related to rash and reckless driving,.pdf,DOC-20241129-WA0005..pdf
3903,file/New Doc 11-28-2024 19.48.pdf,"[29-11-2024] | Ph.D. Result of Tanveer Nasir, Centre for Hospitality & Tourism Management ",.pdf,New Doc 11-28-2024 19.48.pdf
3902,file/New Doc 11-28-2024 19.49.pdf,"[29-11-2024] | Ph.D. Result of Nahida Koser, Department of Arabic",.pdf,New Doc 11-28-2024 19.49.pdf
3901,file/Mr. Ghayas Ahmed Ph.D viva notification.pdf,"[26-11-2024] | Ph.D. viva-voce of Mr. Ghayas Ahmed, Ph.D scholar in the Department of Computer Sciences",.pdf,Mr. Ghayas Ahmed Ph.D viva notification.pdf
3900,file/Notification_ Winter Vacations.pdf,[26-11-2024] | Winter vacation notification,.pdf,Notification_ Winter Vacations.pdf
3899,file/2024_Viva_Voce_Sajid_Muneer.pdf,[22-11-2024] | Ph.D. Viva Voce Notice of Mr. Sajid Muneer (Urdu),.pdf,2024_Viva_Voce_Sajid_Muneer.pdf
3898,file/2024_11_19_PPH.pdf,[19-11-2024] | Ph.D. Pre-Submission Presentation Notice of Mr. Peerzada Gh Mohammad (Economics),.pdf,2024_11_19_PPH.pdf
3897,file/DOC-20241113-WA0013..pdf,"[13-11-2024] | Ph.D viva voce of Ms. Aasima Nazir, Research scholar in Department of Econonics BGSBU on 18th of November 2024 at 10am.",.pdf,DOC-20241113-WA0013..pdf
3894,file/2024_PI_HM_interview.pdf,[09-11-2024] | List of eligible candidates for the interview of the post of Junior Research Assistant for the Research project titled Hybrid Multimodal Biometric Recognition System using Handcrafted and CNN Features,.pdf,2024_PI_HM_interview.pdf
3891,file/Pmsss202425ut811.pdf,"[08-11-2024] | Notification Regarding Submission of Online Scholarship applications under ""Prime Minister's Scholarship Scheme for the Wards of Central Armed Police Forces, Assam Rifles &States/UTs Police Personnel"" for the year 2024-25.",.pdf,Pmsss202425ut811.pdf
3890,file/Ss20245d8.pdf,"[08-11-2024] | Notification Regarding Submission of Online Scholarship applications under Central Sector Scheme ""SCHOLARSHIPS FOR STUDENTS WITH DISABILITIES"" for the year 2024-25.",.pdf,Ss20245d8.pdf
3889,file/EXT222.pdf," [07-11-2024] | Extension Notice-II Regarding E-Tenders for Supply of Submersible Pumping Machinery",.pdf,EXT222.pdf
3888,file/jrap2.pdf,"[29-10-2024] | Interview Notice for the for the Position of Junior Research Assistant for the Project titled ""Realistic Healthcare Management System for Type-2 Diabetes Mellitus using Lifestyle/Biological Data for J&K-UT, India""",.pdf,jrap2.pdf
3887,file/jraposition.pdf,"[29-10-2024] | Interview Notice for the Position of Junior Research Assistant for the Project titled "" Prediction of Multiple Diseases Based on Lifestyle Data""",.pdf,jraposition.pdf
3886,file/extensionwatermotor.pdf,[29-10-2024] | Extension Notice Regarding E-Tenders for Supply of Submersible Pumping Machinery,.pdf,extensionwatermotor.pdf
3885,file/11Extension for the last date in the submission of Applications for the position of Junior Research Assistant (JRA)  for the research project.pdf,"[29-10-2024] |Extension for the last date in the submission of Applications for the position of Junior Research Assistant (JRA)  for the research project entitled “Modelling of Sediment Yield and Establishing Sediment Delivery Ratio Relationships in Upper Jhelum Basin"" sponsored by J&K Science Technology and Innovation Council (JKSTIC) Department of Science and Technology, Government of J&K.",.pdf,11Extension for the last date in the submission of Applications for the position of Junior Research Assistant (JRA)  for the research project.pdf
3884,file/3phd.pdf,"[28-10-2024] | Ph.D. Result Notification of Mr. Sarshad Hussain, Department of Zoology",.pdf,3phd.pdf
3883,file/2phd.pdf,"[28-10-2024] | Ph.D. Result Notification of Ms. Farhana Ajaz, Department of Computer Science",.pdf,2phd.pdf
3882,file/1phd.pdf,"[28-10-2024] | Ph.D. Result Notification of Ms. Surayya Naseer, Department of Arabic",.pdf,1phd.pdf
